,source,query,query_time,title,journal,authors,doi,published,abstract,url,tags
0,ur,mom,joe,mama,hi,test,jsdfjsd,jksdkjf,jsdfs,jsdf,sdjf
1,arxiv,test,2023-09-20 14:31:51.120996,Heuristic Search for Path Finding with Refuelling,,"['Anushtup Nandy', 'Zhongqiang Ren', 'Sivakumar Rathinam', 'Howie Choset']",,2023-09-19T17:43:11Z,"This paper considers a generalization of the Path Finding (PF) with refueling constraints referred to as the Refuelling Path Finding (RF-PF) problem. Just like PF, the RF-PF problem is defined over a graph, where vertices are gas stations with known fuel prices, and edge costs depend on the gas consumption between the corresponding vertices. RF-PF seeks a minimum-cost path from the start to the goal vertex for a robot with a limited gas tank and a limited number of refuelling stops. While RF-PF is polynomial-time solvable, it remains a challenge to quickly compute an optimal solution in practice since the robot needs to simultaneously determine the path, where to make the stops, and the amount to refuel at each stop. This paper develops a heuristic search algorithm called Refuel A* (RF-A* ) that iteratively constructs partial solution paths from the start to the goal guided by a heuristic function while leveraging dominance rules for state pruning during planning. RF-A* is guaranteed to find an optimal solution and runs more than an order of magnitude faster than the existing state of the art (a polynomial time algorithm) when tested in large city maps with hundreds of gas stations.",http://arxiv.org/abs/2309.10796,"[{'term': 'cs.RO', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'cs.AI', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': '68T40', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
2,arxiv,test,2023-09-20 14:31:51.120996,"Mobile Manipulation Platform for Autonomous Indoor Inspections in
  Low-Clearance Areas",,"['Erik Pearson', 'Paul Szenher', 'Christine Huang', 'Brendan Englot']",,2023-09-19T17:41:28Z,"Mobile manipulators have been used for inspection, maintenance and repair tasks over the years, but there are some key limitations. Stability concerns typically require mobile platforms to be large in order to handle far-reaching manipulators, or for the manipulators to have drastically reduced workspaces to fit onto smaller mobile platforms. Therefore we propose a combination of two widely-used robots, the Clearpath Jackal unmanned ground vehicle and the Kinova Gen3 six degree-of-freedom manipulator. The Jackal has a small footprint and works well in low-clearance indoor environments. Extensive testing of localization, navigation and mapping using LiDAR sensors makes the Jackal a well developed mobile platform suitable for mobile manipulation. The Gen3 has a long reach with reasonable power consumption for manipulation tasks. A wrist camera for RGB-D sensing and a customizable end effector interface makes the Gen3 suitable for a myriad of manipulation tasks. Typically these features would result in an unstable platform, however with a few minor hardware and software modifications, we have produced a stable, high-performance mobile manipulation platform with significant mobility, reach, sensing, and maneuverability for indoor inspection tasks, without degradation of the component robots' individual capabilities. These assertions were investigated with hardware via semi-autonomous navigation to waypoints in a busy indoor environment, and high-precision self-alignment alongside planar structures for intervention tasks.",http://arxiv.org/abs/2309.10794,"[{'term': 'cs.RO', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
3,arxiv,test,2023-09-20 14:31:51.120996,"Evaluating large language models' ability to understand metaphor and
  sarcasm using a screening test for Asperger syndrome",,['Hiromu Yakura'],,2023-09-19T16:41:19Z,"Metaphors and sarcasm are precious fruits of our highly-evolved social communication skills. However, children with Asperger syndrome are known to have difficulties in comprehending sarcasm, even if they possess a certain level of verbal IQ sufficient for understanding metaphors. Given that, a screening test that scores the ability to understand metaphor and sarcasm has been used to differentiate Asperger syndrome from other symptoms exhibiting akin external behaviors (e.g., attention-deficit/hyperactivity disorder). This study uses the standardized test to examine the capability of recent large language models (LLMs) in understanding human nuanced communication. The results divulged that, whereas their ability to comprehend metaphors has been improved with the increase of the number of model parameters, the improvement in sarcasm understanding was not observed. This implies that an alternative approach is imperative to imbue LLMs with the capacity to grasp sarcasm, which has been associated with the amygdala, a pivotal cerebral region for emotional learning, in the case of humans.",http://arxiv.org/abs/2309.10744,"[{'term': 'cs.CL', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'cs.AI', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'cs.HC', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
4,arxiv,test,2023-09-20 14:31:51.120996,Causality-Driven One-Shot Learning for Prostate Cancer Grading from MRI,,"['Gianluca Carloni', 'Eva Pachetti', 'Sara Colantonio']",,2023-09-19T16:08:33Z,"In this paper, we present a novel method to automatically classify medical images that learns and leverages weak causal signals in the image. Our framework consists of a convolutional neural network backbone and a causality-extractor module that extracts cause-effect relationships between feature maps that can inform the model on the appearance of a feature in one place of the image, given the presence of another feature within some other place of the image. To evaluate the effectiveness of our approach in low-data scenarios, we train our causality-driven architecture in a One-shot learning scheme, where we propose a new meta-learning procedure entailing meta-training and meta-testing tasks that are designed using related classes but at different levels of granularity. We conduct binary and multi-class classification experiments on a publicly available dataset of prostate MRI images. To validate the effectiveness of the proposed causality-driven module, we perform an ablation study and conduct qualitative assessments using class activation maps to highlight regions strongly influencing the network's decision-making process. Our findings show that causal relationships among features play a crucial role in enhancing the model's ability to discern relevant information and yielding more reliable and interpretable predictions. This would make it a promising approach for medical image classification tasks.",http://arxiv.org/abs/2309.10725,"[{'term': 'cs.CV', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'cs.AI', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'I.2; I.4; I.5; J.3', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
5,arxiv,test,2023-09-20 14:31:51.120996,"LEA*: An A* Variant Algorithm with Improved Edge Efficiency for Robot
  Motion Planning",,"['Dongliang Zheng', 'Panagiotis Tsiotras']",,2023-09-19T16:04:09Z,"In this work, we introduce a new graph search algorithm, lazy edged based A* (LEA*), for robot motion planning. By using an edge queue and exploiting the idea of lazy search, LEA* is optimally vertex efficient similar to A*, and has improved edge efficiency compared to A*. LEA* is simple and easy to implement with minimum modification to A*, resulting in a very small overhead compared to previous lazy search algorithms. We also explore the effect of inflated heuristics, which results in the weighted LEA* (wLEA*). We show that the edge efficiency of wLEA* becomes close to LazySP and, thus is near-optimal. We test LEA* and wLEA* on 2D planning problems and planning of a 7-DOF manipulator. We perform a thorough comparison with previous algorithms by considering sparse, medium, and cluttered random worlds and small, medium, and large graph sizes. Our results show that LEA* and wLEA* are the fastest algorithms to find the plan compared to previous algorithms.",http://arxiv.org/abs/2309.10722,"[{'term': 'cs.RO', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'cs.AI', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
6,arxiv,test,2023-09-20 14:31:51.120996,"Modeling electron temperature profiles in the pedestal with simple
  formulas for ETG transport",,"['D. R. Hatch', 'M. T. Kotschenreuther', 'P. -Y. Li', 'B. Chapman-Oplopoiou', 'J. Parisi', 'S. M. Mahajan', 'R. Groebner']",,2023-09-19T15:54:16Z,"This paper reports on the refinement (building on Ref.~\cite{hatch_22}) and application of simple formulas for electron heat transport from electron temperature gradient (ETG) driven turbulence in the pedestal. The formulas are improved by (1) improving the parameterization for certain key parameters and (2) carefully accounting for the impact of geometry and shaping in the underlying gyrokinetic simulation database. Comparisons with nonlinear gyrokinetic simulations of ETG transport in the MAST pedestal demonstrate the model's applicability to spherical tokamaks in addition to standard aspect ratio tokamaks. We identify bounds for model applicability: the model is accurate in the steep gradient region, where the ETG turbulence is largely slab-like, but accuracy decreases as the temperature gradient becomes weaker in the pedestal top and the instabilities become increasingly toroidal in nature. We use the formula to model the electron temperature profile in the pedestal for four experimental scenarios while extensively varying input parameters to represent uncertainties. In all cases, the predicted electron temperature pedestal exhibits extreme sensitivity to separatrix temperature and density, which has implications for core-edge integration. The model reproduces the electron temperature profile for high $\eta_e = L_{ne}/L_{Te}$ scenarios but not for low $\eta_e$ scenarios in which microtearing modes have been identified. We develop a proof-of-concept model for MTM transport and explore the relative roles of ETG and MTM in setting the electron temperature profile. We propose that pedestal scenarios predicted for future devices should be tested for compatibility with ETG transport.",http://arxiv.org/abs/2309.10708,"[{'term': 'physics.plasm-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
7,arxiv,test,2023-09-20 14:31:51.120996,Nested Gausslet Basis Sets,,"['Steven R. White', 'Michael J. Lindsey']",,2023-09-19T15:44:53Z,"We introduce nested gausslet (NG) bases, an improvement on previous gausslet bases which can treat systems containing atoms with much larger atomic number. We also introduce pure Gaussian distorted gausslet bases, which allow the Hamiltonian integrals to be performed analytically, as well as hybrid bases in which the gausslets are combined with standard Gaussian-type bases. All these bases feature the diagonal approximation for the electron-electron interactions, so that the Hamiltonian is completely defined by two $N_b\times N_b$ matrices, where $N_b \approx 10^4$ is small enough to permit fast calculations at the Hartree-Fock level. In constructing these bases we have gained new mathematical insight into the construction of one-dimensional diagonal bases. In particular we have proved an important theorem relating four key basis set properties: completeness, orthogonality, zero-moment conditions, and diagonalization of the coordinate operator matrix. We test our basis sets on small systems with a focus on high accuracy, obtaining, for example, an accuracy of $2\times10^{-5}$ Ha for the total Hartree-Fock energy of the neon atom in the complete basis set limit.",http://arxiv.org/abs/2309.10704,"[{'term': 'physics.chem-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'cond-mat.str-el', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'physics.atom-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'physics.comp-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
8,arxiv,test,2023-09-20 14:31:51.120996,"Improved Nonnegativity Testing in the Bernstein Basis via Geometric
  Means",,"['Mitchell Tong Harris', 'Pablo A. Parrilo']",,2023-09-19T14:58:02Z,"We develop a new kind of nonnegativity certificate for univariate polynomials on an interval. In many applications, nonnegative Bernstein coefficients are often used as a simple way of certifying polynomial nonnegativity. Our proposed condition is instead an explicit lower bound for each Bernstein coefficient in terms of the geometric mean of its adjacent coefficients, which is provably less restrictive than the usual test based on nonnegative coefficients. We generalize to matrix-valued polynomials of arbitrary degree, and we provide numerical experiments suggesting the practical benefits of this condition. The techniques for constructing this inexpensive certificate could potentially be applied to other semialgebraic feasibility problems.",http://arxiv.org/abs/2309.10675,"[{'term': 'math.OC', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
9,arxiv,test,2023-09-20 14:31:51.120996,"CloudSimSC: A Toolkit for Modeling and Simulation of Serverless
  Computing Environments",,"['Anupama Mampage', 'Rajkumar Buyya']",,2023-09-19T14:54:07Z,"Serverless computing is gaining traction as an attractive model for the deployment of a multitude of workloads in the cloud. Designing and building effective resource management solutions for any computing environment requires extensive long term testing, experimentation and analysis of the achieved performance metrics. Utilizing real test beds and serverless platforms for such experimentation work is often times not possible due to resource, time and cost constraints. Thus, employing simulators to model these environments is key to overcoming the challenge of examining the viability of such novel ideas for resource management. Existing simulation software developed for serverless environments lack generalizibility in terms of their architecture as well as the various aspects of resource management, where most are purely focused on modeling function performance under a specific platform architecture. In contrast, we have developed a serverless simulation model with induced flexibility in its architecture as well as the key resource management aspects of function scheduling and scaling. Further, we incorporate techniques for easily deriving monitoring metrics required for evaluating any implemented solutions by users. Our work is presented as CloudSimSC, a modular extension to CloudSim which is a simulator tool extensively used for modeling cloud environments by the research community. We discuss the implemented features in our simulation tool using multiple use cases.",http://arxiv.org/abs/2309.10671,"[{'term': 'cs.DC', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
10,arxiv,test,2023-09-20 14:31:51.120996,"Testing and correcting sample selection in academic achievement
  comparisons",,['Onil Boussim'],,2023-09-19T14:22:26Z,"Country comparisons using standardized test scores may in some cases be misleading unless we make sure that the potential sample selection bias created by drop-outs and non-enrollment patterns does not alter the analysis. In this paper, I propose an answer to this issue which consists in comparing the counterfactual distribution of achievement (I mean the distribution of achievement if there was hypothetically no selection) and the observed distribution of achievements. If the difference is statistically significant, international comparison measures like means, quantiles, and inequality measures have to be computed using that counterfactual distribution. I identify the quantiles of that latent distribution by readjusting the percentile levels of the observed quantile function of achievement. Because the data on test scores is by nature truncated, I have to rely on auxiliary data to borrow identification power. I finally applied my method to 6 sub-Saharan countries using 6th-grade test scores.",http://arxiv.org/abs/2309.10642,"[{'term': 'econ.EM', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'stat.AP', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
11,arxiv,test,2023-09-20 14:31:51.120996,"To clump or not to clump The impact of wind inhomogeneities on the
  optical and NIR spectroscopic analysis of massive OB stars",,"['K. Rübke', 'A. Herrero', 'J. Puls']",,2023-09-19T13:45:39Z,"Winds of massive stars have density inhomogeneities (clumping) that may affect the formation of spectral lines in different ways, depending on their formation region. Most of previous and current spectroscopic analyses have been performed in the optical or ultraviolet domain. However, massive stars are often hidden behind dense clouds rendering near-infrared observations necessary. Our objective is to investigate whether a spectroscopic analysis using either optical or infrared observations results in the same stellar parameters with comparable accuracy, and whether clumping affects them in different ways. We analyzed optical and near-infrared observations of a set of massive O stars with spectral types O4-O9.5 and all luminosity classes. We obtain similar stellar parameters in the optical and the infrared, although with larger uncertainties in the near-infrared, both with and without clumping, albeit with some individual deviating cases. We find that the inclusion of clumping improves the fit to H$_\alpha$ or HeII 4686 in the optical for supergiants, as well as that of Br$_\gamma$ in the near-infrared, but it sometimes worsens the fit to HeII 2.18$\mu$m. Globally, there are no significant differences when using the clumping laws tested in this work. The infrared can be used for spectroscopic analyses, giving similar parameters as from the optical, though with larger uncertainties. The best fits to different lines are obtained with different (linear) clumping laws, indicating that the wind structure may be more complex than adopted in the present work. No clumping law results in a better global fit, or improves the consistency between optical and infrared stellar parameters. Our work shows that the optical and infrared lines are not sufficient to break the dichotomy between the mass-loss rate and clumping factor.",http://arxiv.org/abs/2309.10615,"[{'term': 'astro-ph.SR', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'astro-ph.GA', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
12,arxiv,test,2023-09-20 14:31:51.120996,A New Bootstrap Goodness-of-Fit Test for Normal Linear Regression Models,,"['Scott H. Koeneman', 'Joseph E. Cavanaugh']",,2023-09-19T13:43:36Z,"In this work, the distributional properties of the goodness-of-fit term in likelihood-based information criteria are explored. These properties are then leveraged to construct a novel goodness-of-fit test for normal linear regression models that relies on a non-parametric bootstrap. Several simulation studies are performed to investigate the properties and efficacy of the developed procedure, with these studies demonstrating that the bootstrap test offers distinct advantages as compared to other methods of assessing the goodness-of-fit of a normal linear regression model.",http://arxiv.org/abs/2309.10614,"[{'term': 'stat.ME', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'stat.AP', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
13,arxiv,test,2023-09-20 14:31:51.120996,An Extendable Python Implementation of Robust Optimisation Monte Carlo,,"['Vasilis Gkolemis', 'Michael Gutmann', 'Henri Pesonen']",,2023-09-19T13:37:47Z,"Performing inference in statistical models with an intractable likelihood is challenging, therefore, most likelihood-free inference (LFI) methods encounter accuracy and efficiency limitations. In this paper, we present the implementation of the LFI method Robust Optimisation Monte Carlo (ROMC) in the Python package ELFI. ROMC is a novel and efficient (highly-parallelizable) LFI framework that provides accurate weighted samples from the posterior. Our implementation can be used in two ways. First, a scientist may use it as an out-of-the-box LFI algorithm; we provide an easy-to-use API harmonized with the principles of ELFI, enabling effortless comparisons with the rest of the methods included in the package. Additionally, we have carefully split ROMC into isolated components for supporting extensibility. A researcher may experiment with novel method(s) for solving part(s) of ROMC without reimplementing everything from scratch. In both scenarios, the ROMC parts can run in a fully-parallelized manner, exploiting all CPU cores. We also provide helpful functionalities for (i) inspecting the inference process and (ii) evaluating the obtained samples. Finally, we test the robustness of our implementation on some typical LFI examples.",http://arxiv.org/abs/2309.10612,"[{'term': 'cs.LG', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'cs.SE', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'stat.CO', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
